sigma,norm_zh0,q_logit,q_prob,correct
0.15,15.999990463256836,-10.0625,4.2647468944778666e-05,False
0.15,15.999991416931152,-9.3125,9.028038039105013e-05,False
0.15,15.99998950958252,-8.5625,0.000191104321856983,False
0.15,15.99998664855957,-10.1875,3.7636447814293206e-05,False
0.15,15.99998664855957,-10.125,4.006369272246957e-05,False
0.15,15.99998950958252,-9.1875,0.00010229986219201237,False
0.15,15.99999713897705,6.71875,0.998793363571167,True
0.15,15.999992370605469,-9.4375,7.9673009167891e-05,False
0.15,15.999990463256836,-10.0625,4.2647468944778666e-05,False
0.15,15.999991416931152,-8.5625,0.000191104321856983,False
